,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT,GEO_ID
33,12.7,12.5,0.9,0.9,0.8,0.8,0500000US48007
34,16.6,16.5,0.9,0.9,0.9,0.9,0500000US48009
35,14.9,6.7,0.7,0.7,0.7,0.7,0500000US48011
36,17.7,10.9,0.6,0.6,0.7,0.6,0500000US48013
37,24.6,20.2,0.8,0.8,0.8,0.8,0500000US48015
38,26,9.5,0.6,0.5,0.6,0.6,0500000US48017
39,17.2,13.2,0.7,0.7,0.7,0.7,0500000US48019
40,24.2,21.9,1.3,1.3,1.3,1.3,0500000US48021
41,23.6,7,0.4,0.4,0.5,0.5,0500000US48023
42,19.4,10.6,0.5,0.5,0.6,0.6,0500000US48025
43,30,28.5,1.4,1.4,1.4,1.4,0500000US48027
44,29.4,25,1.2,1.2,1.3,1.2,0500000US48029
45,17.9,17.8,0.9,0.9,0.9,0.9,0500000US48031
46,14.8,4.2,0.5,0.5,0.5,0.5,0500000US48033
47,24.5,10.2,0.9,0.9,0.9,0.9,0500000US48035
48,31.7,21.1,1.2,1.2,1.3,1.3,0500000US48037
49,28.6,25.5,1.1,1.1,1.1,1.1,0500000US48039
50,28,27.3,1,1,1.1,1.1,0500000US48041
51,11.6,9.5,0.3,0.3,0.3,0.3,0500000US48043
52,10.4,4.9,0.5,0.5,0.5,0.5,0500000US48045
53,14.1,4.7,0.4,0.4,0.3,0.3,0500000US48047
54,25.8,16.5,1.2,1.2,1.4,1.3,0500000US48049
55,22.7,8.8,0.7,0.7,0.7,0.6,0500000US48051
56,26,23.4,1.2,1.2,1.2,1.2,0500000US48053
57,21.5,19.1,1.2,1.2,1.2,1.2,0500000US48055
58,15.3,8.8,0.5,0.5,0.5,0.5,0500000US48057
59,29.4,11.5,1.2,1.1,1.2,1.1,0500000US48059
60,17.8,13.7,0.8,0.7,0.8,0.8,0500000US48061
61,26.1,14.9,1,1,1,1,0500000US48063
62,7.3,7.2,0.8,0.8,0.7,0.7,0500000US48065
63,29,10.1,0.8,0.8,0.8,0.8,0500000US48067
64,16.1,5.8,0.3,0.3,0.4,0.3,0500000US48069
65,20.5,20.4,0.7,0.7,0.8,0.8,0500000US48071
66,30.4,12.4,0.8,0.8,0.7,0.7,0500000US48075
67,28.3,21.5,1.2,1.2,1.2,1.2,0500000US48077
68,23.1,6.9,0.9,0.8,0.9,0.7,0500000US48083
69,36.3,35.9,1.7,1.7,1.6,1.6,0500000US48085
70,25.2,12.7,0.7,0.7,0.7,0.7,0500000US48089
71,33.2,32.9,1.6,1.6,1.6,1.6,0500000US48091
72,27.2,9.4,0.8,0.8,0.8,0.8,0500000US48093
73,4.5,2.4,0.8,0.8,0.8,0.8,0500000US48095
74,29.1,26.9,1.5,1.5,1.6,1.6,0500000US48099
75,3.1,2,0.3,0.3,0.3,0.3,0500000US48101
76,0.9,0.8,0.2,0.2,0.2,0.2,0500000US48105
77,15.6,6.9,0.6,0.6,0.6,0.6,0500000US48107
78,1.2,1.1,0.2,0.2,0.2,0.2,0500000US48109
79,29.8,27.4,1.4,1.4,1.4,1.4,0500000US48113
80,27.1,10.1,0.6,0.6,0.6,0.5,0500000US48115
81,25.1,24.9,1.4,1.4,1.4,1.4,0500000US48209
82,27.9,25.8,1.2,1.1,1.2,1.2,0500000US48201
83,23.2,23,0.5,0.5,0.5,0.5,0500000US48205
84,23.9,8.1,0.8,0.7,0.8,0.7,0500000US48207
85,17.5,17.1,0.9,0.9,0.9,0.9,0500000US48211
86,27.6,18.9,1,1,1,1,0500000US48213
87,18.1,14.7,0.9,0.8,0.8,0.8,0500000US48215
88,25.7,17.3,1.3,1.2,1.5,1.5,0500000US48219
89,35.1,29.9,1.5,1.4,1.4,1.4,0500000US48221
90,23.2,9,0.5,0.4,0.5,0.4,0500000US48225
91,24.6,18.1,1,1,1.1,1.1,0500000US48227
92,2.6,2.5,0.2,0.2,0.2,0.2,0500000US48229
93,30.2,22.7,1.3,1.3,1.3,1.3,0500000US48231
94,22.9,18,0.7,0.7,0.8,0.7,0500000US48233
95,5.6,5.5,0.5,0.5,0.5,0.5,0500000US48235
96,22.3,9.1,0.5,0.5,0.5,0.5,0500000US48237
97,22,11.4,0.9,0.9,0.9,0.9,0500000US48239
98,21,9.4,0.6,0.5,0.6,0.5,0500000US48241
99,3.8,3.8,0.6,0.6,0.6,0.6,0500000US48243
100,32,24.7,0.7,0.7,0.7,0.7,0500000US48245
101,15.4,5.5,0.7,0.7,0.7,0.7,0500000US48247
102,18.1,7.3,0.7,0.7,0.6,0.6,0500000US48249
103,33.7,31.4,1.7,1.7,1.7,1.7,0500000US48251
104,28.3,12.6,1.2,1.2,1.2,1.1,0500000US48253
105,15.4,5.9,0.4,0.4,0.4,0.4,0500000US48255
106,32.7,28.6,1.4,1.4,1.4,1.4,0500000US48257
107,31.5,31.3,1.5,1.5,1.4,1.4,0500000US48259
108,0.4,0.4,0,0,0,0,0500000US48261
109,5.4,2.2,0.2,0.2,0.2,0.2,0500000US48263
110,30.8,25.1,1.2,1.2,1.2,1.2,0500000US48265
111,14.7,5.6,0.4,0.4,0.4,0.4,0500000US48267
112,1.6,1.6,0.5,0.5,0.5,0.5,0500000US48269
